n,DeltaU1_V,U1_min_V,IA_min_nA
1,,0.07,0.44
2,0.04999999999999999,0.12,0.45
3,0.05000000000000002,0.17,0.46
4,0.03999999999999998,0.21,0.48
5,0.1,0.31,0.46
6,0.04999999999999999,0.36,0.44
7,0.15000000000000002,0.51,0.46
8,0.24,0.75,0.39
9,0.3700000000000001,1.12,0.43
10,0.04999999999999982,1.17,0.43
11,0.14000000000000012,1.31,0.47
12,0.050000000000000044,1.36,0.44
13,0.09999999999999987,1.46,0.41
14,0.050000000000000044,1.51,0.4
15,0.050000000000000044,1.56,0.44
16,0.050000000000000044,1.61,0.44
17,0.04999999999999982,1.66,0.46
18,0.040000000000000036,1.7,0.46
19,0.050000000000000044,1.75,0.46
20,0.10000000000000009,1.85,0.44
21,0.04999999999999982,1.9,0.43
22,0.050000000000000044,1.95,0.45
23,0.09999999999999987,2.05,0.47
24,0.050000000000000266,2.1,0.46
25,0.08999999999999986,2.19,0.45
26,0.050000000000000266,2.24,0.45
27,0.19999999999999973,2.44,0.44
28,0.6099999999999999,3.05,0.45
29,0.050000000000000266,3.1,0.46
30,0.14000000000000012,3.24,0.47
31,0.33999999999999986,3.58,0.49
32,0.04999999999999982,3.63,0.47
33,0.050000000000000266,3.68,0.46
34,0.09999999999999964,3.78,0.48
35,0.050000000000000266,3.83,0.47
36,0.1499999999999999,3.98,0.48
37,0.23999999999999977,4.22,0.49
38,0.20000000000000018,4.42,0.46
39,0.20999999999999996,4.63,0.47
40,0.04999999999999982,4.68,0.48
41,0.15000000000000036,4.83,0.48
42,0.07000000000000028,4.9,0.49
43,0.1299999999999999,5.03,0.52
44,0.13999999999999968,5.17,0.53
45,0.04999999999999982,5.22,0.54
46,0.10000000000000053,5.32,0.54
47,0.04999999999999982,5.37,0.53
48,0.04999999999999982,5.42,0.52
49,0.08999999999999986,5.51,0.54
50,0.04999999999999982,5.56,0.55
51,0.05000000000000071,5.61,0.58
52,0.09999999999999964,5.71,0.61
53,0.1900000000000004,5.9,0.61
54,0.2699999999999996,6.17,0.67
55,0.04999999999999982,6.22,0.68
56,0.04999999999999982,6.27,0.68
57,0.10000000000000053,6.37,0.7
58,0.04999999999999982,6.42,0.73
59,0.04999999999999982,6.47,0.74
60,0.04999999999999982,6.52,0.74
61,0.040000000000000036,6.56,0.74
62,0.05000000000000071,6.61,0.72
63,0.09999999999999964,6.71,0.77
64,0.04999999999999982,6.76,0.78
65,0.15000000000000036,6.91,0.84
66,0.040000000000000036,6.95,0.88
67,0.14999999999999947,7.1,0.92
68,0.05000000000000071,7.15,0.92
69,0.0699999999999994,7.22,0.93
70,0.35000000000000053,7.57,1.03
71,0.1899999999999995,7.76,1.07
72,0.20000000000000018,7.96,1.11
73,0.13999999999999968,8.1,1.09
74,0.05000000000000071,8.15,1.11
75,0.1999999999999993,8.35,1.16
76,0.08999999999999986,8.44,1.18
77,0.25,8.69,1.18
78,0.15000000000000036,8.84,1.21
79,0.040000000000000924,8.88,1.22
80,0.08000000000000007,8.96,1.23
81,0.06999999999999851,9.03,1.23
82,0.07000000000000028,9.1,1.22
83,0.20000000000000107,9.3,1.23
84,0.1899999999999995,9.49,1.22
85,0.34999999999999964,9.84,1.25
86,0.05000000000000071,9.89,1.28
87,0.03999999999999915,9.93,1.29
88,0.09999999999999964,10.03,1.3
89,0.05000000000000071,10.08,1.31
90,0.05000000000000071,10.13,1.32
91,0.049999999999998934,10.18,1.32
92,0.05000000000000071,10.23,1.34
93,0.1399999999999988,10.37,1.42
94,0.05000000000000071,10.42,1.43
95,0.47000000000000064,10.89,1.64
96,0.33999999999999986,11.23,1.92
97,1.1199999999999992,12.35,2.91
98,0.47000000000000064,12.82,2.92
99,0.1899999999999995,13.01,2.86
100,0.15000000000000036,13.16,2.76
101,0.14000000000000057,13.3,2.69
102,0.1999999999999993,13.5,2.55
103,0.11999999999999922,13.62,2.5
104,0.27000000000000135,13.89,2.34
105,0.07000000000000028,13.96,2.33
106,0.049999999999998934,14.01,2.34
107,0.20000000000000107,14.21,2.3
108,0.23999999999999844,14.45,2.34
109,0.05000000000000071,14.5,2.34
110,0.05000000000000071,14.55,2.34
111,0.049999999999998934,14.6,2.35
112,0.2900000000000009,14.89,2.59
113,0.049999999999998934,14.94,2.62
114,2.320000000000002,17.26,6.9
115,1.759999999999998,19.02,3.69
116,0.05000000000000071,19.07,3.69
117,0.05000000000000071,19.12,3.68
118,0.08999999999999986,19.21,3.7
119,0.05000000000000071,19.26,3.71
120,4.669999999999998,23.93,5.62
121,0.05000000000000071,23.98,5.63
122,0.03999999999999915,24.02,5.63
123,4.91,28.93,8.59
124,5.009999999999998,33.94,13.57
125,0.05000000000000426,33.99,13.57
126,3.0700000000000003,37.06,36.3
127,0.04999999999999716,37.11,36.31
128,2.0799999999999983,39.19,21.38
129,4.710000000000001,43.9,44.67
